id,username,total_activity
23,Eveline95,12
88,Clint27,11
59,Cesar93,10
86,Delfina_VonRueden68,9
58,Aurelie71,8
29,Jaime53,8
77,Donald.Fritsch,6
33,Yvette.Gottlieb91,5
52,Zack_Kemmer93,5
47,Harrison.Beatty50,5
6,Travon.Waters,5
13,Alexandro35,5
51,Mariano_Koch3,5
78,Colten.Harris76,5
11,Justina.Gaylord27,5
1,Kenton_Kirlin,5
72,Kathryn80,5
65,Adelle96,5
43,Janet.Armstrong,5
64,Florence99,5
26,Josianne.Friesen,5
2,Andre_Purdy85,4
3,Harley_Lind18,4
9,Gus93,4
8,Tabitha_Schamberger11,4
46,Malinda_Streich,4
12,Dereck65,4
44,Seth46,4
63,Elenor88,4
32,Irwin.Larson,4
28,Dario77,4
16,Annalise.McKenzie16,4
15,Billy52,4
87,Rick29,4
4,Arely_Bogan63,3
10,Presley_McClure,3
50,Gerard79,3
67,Emilio_Bernier52,3
17,Norbert_Carroll35,3
42,Maya.Farrell,3
92,Frederik_Rice,3
96,Keenan.Schamberger60,3
99,Alek_Watsica,3
38,Jordyn.Jacobson2,2
100,Javonte83,2
82,Aracely.Johnston98,2
84,Alysa22,2
85,Milford_Gleichner42,2
60,Sam52,2
62,Ressie_Stanton46,2
19,Hailee26,2
93,Willie_Leuschke,2
95,Nicole71,2
30,Kaley9,2
97,Tomas.Beatty93,2
35,Lennie_Hartmann40,2
31,Aiyana_Hoeger,1
27,Darwin29,1
79,Katarina.Dibbert,1
40,Rafael.Hickle2,1
61,Jayson65,1
39,Kelsi26,1
22,Kenneth64,1
20,Delpha.Kihn,1
48,Granville_Kutch,1
18,Odessa2,1
37,Yazmin_Mills95,1
94,Damon35,1
69,Karley_Bosco,1
70,Erick5,1
55,Meggie_Doyle,1
98,Imani_Nicolas17,1
56,Peter.Stehr0,1
73,Jaylan.Lakin,1
